2018-09-17,492,-
2018-09-18,618,-
2018-09-19,-,-
2018-09-20,519,-
2018-09-21,508,-
2018-09-22,-,-
2018-09-23,-,-
2018-09-24,-,-
2018-09-25,-,-
2018-09-26,-,-
2018-09-27,-,-
2018-09-28,-,-
2018-09-29,0,-
2018-09-30,-,-
2018-10-01,-,-
2018-10-02,-,-
2018-10-03,-,-
2018-10-04,-,-
2018-10-05,-,-
2018-10-06,-,-
2018-10-07,-,-
2018-10-08,-,-
2018-10-09,-,-
2018-10-10,-,-
2018-10-11,-,-
2018-10-12,-,-
2018-10-13,-,-
2018-10-14,-,-
2018-10-15,-,-
2018-10-16,-,-
2018-10-17,-,-
2018-10-18,-,-
2018-10-19,-,-
2018-10-20,-,-
2018-10-21,-,-
2018-10-22,-,-
2018-10-23,-,-
2018-10-24,-,-
2018-10-25,-,-
2018-10-26,-,-
2018-10-27,-,-
2018-10-28,-,-
2018-10-29,-,-
2018-10-30,-,-
2018-10-31,-,-
2018-11-01,-,-
2018-11-02,-,-
2018-11-03,-,-
2018-11-04,-,-
2018-11-05,-,-
2018-11-06,-,-
2018-11-07,-,-
2018-11-08,-,-
2018-11-09,-,-
2018-11-10,-,-
2018-11-11,-,-
2018-11-12,-,-
2018-11-13,-,-
2018-11-14,-,-
2018-11-15,-,-
2018-11-16,-,-
2018-11-17,-,-
2018-11-18,-,-
2018-11-19,-,-
2018-11-20,-,-
2018-11-21,-,-
2018-11-22,-,-
2018-11-23,-,-
2018-11-24,-,-
2018-11-25,-,-
2018-11-26,-,-
2018-11-27,-,350
2018-11-28,-,302
2018-11-29,-,339
2018-11-30,-,311
2018-12-01,-,0
2018-12-02,-,0
2018-12-03,-,276
2018-12-04,-,331
2018-12-05,-,286
2018-12-06,-,322
2018-12-07,-,289
2018-12-08,-,0
2018-12-09,-,0
2018-12-10,-,305
2018-12-11,-,317
2018-12-12,-,269
2018-12-13,-,305
2018-12-14,-,276
2018-12-15,-,0
2018-12-16,-,0
2018-12-17,-,295
2018-12-18,-,301
2018-12-19,-,252
2018-12-20,-,289
2018-12-21,-,260
2018-12-22,-,0
2018-12-23,-,0
2018-12-24,-,282
2018-12-25,-,283
2018-12-26,-,277
2018-12-27,-,275
2018-12-28,-,242
2018-12-29,-,1
2018-12-30,-,0
2018-12-31,-,271
2019-01-01,-,275
2019-01-02,-,267
2019-01-03,-,259
2019-01-04,-,224
2019-01-05,-,1
2019-01-06,-,0
2019-01-07,-,230
2019-01-08,-,231
2019-01-09,-,249
2019-01-10,-,246
2019-01-11,-,204
2019-01-12,-,1
2019-01-13,-,0
2019-01-14,-,204
2019-01-15,-,218
2019-01-16,-,232
2019-01-17,-,234
-,-,192
